определённый артикль;the
быть;be
и;and
неопределённый артикль;a
от;of
к;to
в;in
я;i
Вы;you
оно;it
иметь;have
что;that
для;for
делать;do
он;he
с;with
на;on
этот;this
мы;we
нет;not
но;but
они;they
сказать;say
на;at
что;what
его;his
от;from
идти;go
или;or
к;by
получить;get
она;she
мой;my
мочь;can
как;as
знать;know
если;if
я;me
Ваш;your
все;all
кто;who
о;about
их;their
будет;will
так;so
бы;would
делать;make
просто;just
вверх;up
думать;think
время;time
там;there
видеть;see
ее;her
из;out
один;one
приходить;come
люди;people
принять;take
год;year
некоторые;some
хотеть;want
как;how
когда;when
который;which
сейчас;now
любить;like
другие;other
мочь;could
наш;our
в;into
здесь;here
затем;then
чем;than
смотреть;look
путь;way
больше;more
эти;these
нет;no
вещь;thing
хорошо;well
потому что;because
тоже;also
два;two
использовать;use
рассказывать;tell
хороший;good
первый;first
мужчина;man
день;day
находить;find
дать;give
новый;new
нас;us
любой;any
те;those
очень;very
необходимость;need
назад;back
должны;should
даже;even
только;only
много;many
действительно;really
работа;work
жизнь;life
причина;why
право;right
вниз;down
пробовать;try
позволять;let
что-то;something
тоже;too
вызов;call
женщина;woman
мочь;may
все еще;still
через;through
означать;mean
после;after
никогда;never
мир;world
чувствовать;feel
да;yeah
отличный;great
последний;last
ребенок;child
о;oh
над;over
спрашивать;ask
школа;school
государство;state
много;much
говорить;talk
держать;keep
покидать;leave
класть;put
помощь;help
большой;big
где;where
одинаковый;same
собственный;own
пока;while
начало;start
три;three
высокий;high
каждый;every
другой;another
становиться;become
наибольший;most
между;between
случаться;happen
семья;family
президент;president
старый;old
да;yes
дом;house
показывать;show
снова;again
студент;student
казаться;seem
вероятно;might
часть;part
слышать;hear
его;its
место;place
проблема;problem
верить;believe
страна;country
всегда;always
неделя;week
точка;point
рука;hand
прочь;off
играть;play
очередь;turn
несколько;few
группа;group
подобный;such
против;against
бежать;run
парень;guy
дело;case
вопрос;question
ночь;night
жить;live
игра;game
номер;number
писать;write
приносить;bring
без;without
деньги;money
много;lot
книга;book
система;system
правительство;government
следующий;next
город;city
компания;company
история;story
сегодня;today
работа;job
двигаться;move
должен;must
плохой;bad
друг;friend
в течение;during
начать;begin
любовь;love
каждый;each
держать;hold
различный;different
американский;american
маленький;little
до;before
всегда;ever
слово;word
факт;fact
читать;read
что угодно;anything
ничего;nothing
конечно;sure
маленький;small
месяц;month
программа;program
возможно;maybe
под;under
бизнес;business
домашний;home
добрый;kind
остановить;stop
платить;pay
изучать;study
с;since
вопрос;issue
имя;name
идея;idea
комната;room
процент;percent
далеко;far
прочь;away
закон;law
на самом деле;actually
большой;large
хотя;though
обеспечивать;provide
терять;lose
сила;power
ребенок;kid
война;war
понимать;understand
голова;head
мама;mother
реальный;real
лучший;best
команда;team
глаз;eye
длинный;long
сторона;side
вода;water
юный;young
ждать;wait
окей;okay
оба;both
пока;yet
встречать;meet
обслуживание;service
область;area
важный;important
человек;person
Эй;hey
благодарить;thank
кто-то;someone
конец;end
менять;change
однако;however
вокруг;around
час;hour
все;everything
национальный;national
четыре;four
линия;line
девочка;girl
часы;watch
до того момента;until
отец;father
сидеть;sit
творить;create
информация;information
машина;car
учить;learn
наименьший;least
уже;already
убивать;kill
минута;minute
вечеринка;party
включать;include
стоять;stand
вместе;together
следовать;follow
здоровье;health
помнить;remember
часто;often
причина;reason
говорить;speak
назад;ago
набор;set
черный;black
участник;member
сообщество;community
однажды;once
общественный;social
новость;news
позволять;allow
выиграть;win
тело;body
вести;lead
продолжить;continue
ли;whether
достаточно;enough
тратить;spend
уровень;level
способный;able
политический;political
почти;almost
мальчик;boy
университет;university
остаться;stay
добавлять;add
позже;later
пять;five
возможно;probably
центр;center
среди;among
лицо;face
общественный;public
умирать;die
еда;food
еще;else
история;history
покупать;buy
результат;result
утро;morning
родитель;parent
офис;office
курс;course
посылать;send
исследование;research
идти;walk
дверь;door
белый;white
несколько;several
суд;court
расти;grow
лучше;better
открывать;open
момент;moment
включая;including
рассматривать;consider
внутри;within
второй;second
поздний;late
улица;street
свободный;free
каждый;everyone
политика;policy
стол;table
огорченный;sorry
забота;care
низкий;low
человек;human
пожалуйста;please
надеяться;hope
истинный;TRUE
процесс;process
учитель;teacher
данные;data
предложение;offer
смерть;death
весь;whole
опыт;experience
план;plan
простой;easy
образование;education
строить;build
ожидать;expect
падать;fall
себя;himself
возраст;age
трудный;hard
чувство;sense
через;across
ранний;early
колледж;college
музыка;music
появиться;appear
ум;mind
класс;class
полиция;police
эффект;effect
сезон;season
налог;tax
сердце;heart
сын;son
искусство;art
вероятный;possible
обслуживать;serve
перерыв;break
хотя;although
рынок;market
воздух;air
сила;force
требовать;require
нога;foot
слушать;listen
соглашаться;agree
в соответствии;according
кто угодно;anyone
младенец;baby
неправильный;wrong
резать;cut
решать;decide
республиканский;republican
полный;full
позади;behind
проходить;pass
интерес;interest
иногда;sometimes
безопасность;security
есть;eat
доклад;report
контроль;control
ставка;rate
местный;local
предлагать;suggest
нация;nation
продавать;sell
действие;action
поддержка;support
жена;wife
решение;decision
получать;receive
ценность;value
база;base
выбирать;pick
телефон;phone
спасибо;thanks
событие;event
водить;drive
сильный;strong
достичь;reach
оставаться;remain
объяснять;explain
сайт;site
ударить;hit
тянуть;pull
церковь;church
модель;model
возможно;perhaps
отношение;relationship
шесть;six
штраф;fine
кино;movie
поле;field
поднимать;raise
меньше;less
игрок;player
пара;couple
миллион;million
сами;themselves
запись;record
особенно;especially
разница;difference
свет;light
развитие;development
федеральный;federal
бывший;former
роль;role
хорошенький;pretty
сам;myself
вид;view
цена;price
усилие;effort
милый;nice
довольно;quite
вдоль;along
голос;voice
наконец;finally
отдел;department
любой;either
в направлении;toward
лидер;leader
фото;photo
носить;wear
пространство;space
проект;project
вернуть;return
позиция;position
особый;special
фильм;film
главный;major
тип;type
город;town
статья;article
дорога;road
форма;form
шанс;chance
